parameter,value,timestamp
Infrared,28,1550167961.232861
Visible,177,1550167961.232861
Full_Spectrum,192,1550167965.8513036
Infrared,26,1550167965.8513036
Visible,166,1550167965.8513036
Full_Spectrum,191,1550167987.831195
Infrared,26,1550167987.831195
Visible,165,1550167987.831195
Full_Spectrum,191,1550167992.1109302
Infrared,26,1550167992.1109302
Visible,165,1550167992.1109302
Full_Spectrum,189,1550167996.6898887
Infrared,26,1550167996.6898887
Visible,163,1550167996.6898887
Full_Spectrum,200,1550168018.6427157
Infrared,28,1550168018.6427157
Visible,172,1550168018.6427157
Full_Spectrum,203,1550168023.039549
Infrared,28,1550168023.039549
Visible,175,1550168023.039549
Full_Spectrum,203,1550168027.6102085
Infrared,28,1550168027.6102085
Visible,175,1550168027.6102085
Full_Spectrum,205,1550168049.476915
Infrared,28,1550168049.476915
Visible,177,1550168049.476915
Full_Spectrum,205,1550168053.869581
Infrared,28,1550168053.869581
Visible,177,1550168053.869581
Full_Spectrum,204,1550168058.442289
Infrared,28,1550168058.442289
Visible,176,1550168058.442289
Full_Spectrum,199,1550168080.2530558
Infrared,27,1550168080.2530558
Visible,172,1550168080.2530558
Full_Spectrum,201,1550168084.7161567
Infrared,27,1550168084.7161567
Visible,174,1550168084.7161567
Full_Spectrum,199,1550168089.4400618
Infrared,27,1550168089.4400618
Visible,172,1550168089.4400618
Full_Spectrum,203,1550168102.6152344
Infrared,28,1550168102.6152344
Visible,175,1550168102.6152344
Full_Spectrum,202,1550168111.0892408
Infrared,27,1550168111.0892408
Visible,175,1550168111.0892408
Full_Spectrum,203,1550168115.6038475
Infrared,27,1550168115.6038475
Visible,176,1550168115.6038475
Full_Spectrum,202,1550168120.2818692
Infrared,27,1550168120.2818692
Visible,175,1550168120.2818692
Full_Spectrum,203,1550168133.4884782
Infrared,27,1550168133.4884782
Visible,176,1550168133.4884782
Full_Spectrum,202,1550168141.8825834
Infrared,27,1550168141.8825834
Visible,175,1550168141.8825834
Full_Spectrum,202,1550168146.4848049
Infrared,27,1550168146.4848049
Visible,175,1550168146.4848049
Full_Spectrum,203,1550168151.1101356
Infrared,27,1550168151.1101356
Visible,176,1550168151.1101356
Full_Spectrum,202,1550168164.3673563
Infrared,27,1550168164.3673563
Visible,175,1550168164.3673563
Full_Spectrum,201,1550168172.6845524
Infrared,27,1550168172.6845524
Visible,174,1550168172.6845524
Full_Spectrum,201,1550168177.2573311
Infrared,27,1550168177.2573311
Visible,174,1550168177.2573311
Full_Spectrum,201,1550168181.9524496
Infrared,27,1550168181.9524496
Visible,174,1550168181.9524496
Full_Spectrum,201,1550168195.153263
Infrared,27,1550168195.153263
Visible,174,1550168195.153263
Full_Spectrum,201,1550168203.5013783
Infrared,27,1550168203.5013783
Visible,174,1550168203.5013783
Full_Spectrum,201,1550168208.047273
Infrared,27,1550168208.047273
Visible,174,1550168208.047273
Full_Spectrum,201,1550168212.7769153
Infrared,27,1550168212.7769153
Visible,174,1550168212.7769153
Full_Spectrum,201,1550168225.923774
Infrared,27,1550168225.923774
